candidate,baseline,k,n,candidate_mean_MAE,baseline_mean_MAE,mean_improvement_MAE,median_improvement_MAE,p10_improvement_MAE,win_rate,negative_transfer_rate,wilcoxon_p_greater
PA-MSR,ExtraTrees-ST,3,120,16.52329503204504,23.100865646381276,6.577570614336235,1.4117133749400974,0.18193360750665383,0.9583333333333334,0.041666666666666664,7.809539481273954e-20
PA-MSR,ExtraTrees-ST,7,120,16.429038384456657,22.19708846592386,5.768050081467204,1.2746144853762704,0.10783434900683955,0.9166666666666666,0.08333333333333333,1.0952773304805781e-18
PA-MSR,ExtraTrees-ST,14,120,16.20266923754431,21.980274181970557,5.777604944426239,1.179053167788891,0.106091017115914,0.9166666666666666,0.08333333333333333,8.682073897316673e-19
PA-MSR,ExtraTrees-ST,30,120,15.840823270061975,21.596295899106202,5.755472629044226,1.1629006338867907,0.1193873186688883,0.925,0.075,5.573160981746957e-19
PA-MSR,HistGBDT-ST,3,120,16.52329503204504,25.56401991250562,9.040724880460582,1.9862014510419246,0.5246473288819042,0.9833333333333333,0.016666666666666666,2.4902216081165403e-21
PA-MSR,HistGBDT-ST,7,120,16.429038384456657,24.34571481049416,7.9166764260375055,1.8324875671101422,0.3824128007678854,0.9583333333333334,0.041666666666666664,6.876969106646149e-21
PA-MSR,HistGBDT-ST,14,120,16.20266923754431,23.04536039414114,6.842691156596832,1.6459419225849587,0.4032394443909758,0.9666666666666667,0.03333333333333333,3.3623730094041193e-20
PA-MSR,HistGBDT-ST,30,120,15.840823270061975,22.362653142820644,6.52182987275867,1.5561109595396756,0.4219817157917502,0.9333333333333333,0.06666666666666667,3.615404754599167e-20
PA-MSR,Persistence,3,120,16.52329503204504,19.484441237943248,2.961146205898207,1.482991621094832,0.12270529922490095,0.9583333333333334,0.041666666666666664,2.683402977114103e-21
PA-MSR,Persistence,7,120,16.429038384456657,19.484441237943248,3.0554028534865894,1.5831295386803097,0.1451625212713877,0.9666666666666667,0.03333333333333333,2.144186841980323e-21
PA-MSR,Persistence,14,120,16.20266923754431,19.484441237943248,3.281772000398935,1.7094413567137408,0.15453347113162227,0.975,0.025,1.7123819342316645e-21
PA-MSR,Persistence,30,120,15.840823270061975,19.484441237943248,3.643617967881271,1.8652673589755793,0.17709298535633297,0.975,0.025,1.58852330357368e-21
PA-MSR,Prior residual boosting,3,120,16.52329503204504,18.318817040781667,1.7955220087366262,0.9425929055862508,-0.0044229146704896395,0.8916666666666667,0.10833333333333334,1.4657800787971462e-16
PA-MSR,Prior residual boosting,7,120,16.429038384456657,17.4391634932835,1.0101251088268384,0.31686542482058266,-0.22879912401267496,0.8083333333333333,0.19166666666666668,1.3231298359652764e-11
PA-MSR,Prior residual boosting,14,120,16.20266923754431,17.111040680933503,0.9083714433891933,0.43608561887706276,-0.1254427063495614,0.85,0.15,2.058645773215788e-13
PA-MSR,Prior residual boosting,30,120,15.840823270061975,16.687694137009977,0.8468708669479994,0.35296296467289623,-0.10217873835256928,0.8583333333333333,0.14166666666666666,4.034202689358385e-13
PA-MSR,RF-ST,3,120,16.52329503204504,22.353692027549307,5.830396995504264,1.5324419982569002,0.22102365100043306,0.9416666666666667,0.058333333333333334,7.971526130658317e-21
PA-MSR,RF-ST,7,120,16.429038384456657,21.3925952274535,4.9635568429968435,1.304247867725741,0.051184530538394314,0.925,0.075,6.119568461473148e-19
PA-MSR,RF-ST,14,120,16.20266923754431,20.958441185451793,4.755771947907479,0.9917902511288084,0.11512675630476431,0.95,0.05,2.0252139945002796e-19
PA-MSR,RF-ST,30,120,15.840823270061975,20.686021714996567,4.845198444934592,1.018604764294471,0.08186720885502201,0.925,0.075,4.660502343388847e-18
PA-MSR,Seasonal naive,3,120,16.52329503204504,43.65111113072683,27.127816098681798,6.660271459822259,0.5439838833023266,0.9583333333333334,0.041666666666666664,3.274039872341389e-21
PA-MSR,Seasonal naive,7,120,16.429038384456657,43.65111113072683,27.222072746270175,7.083010413003045,0.5848256281749613,0.9583333333333334,0.041666666666666664,2.7510340764294866e-21
PA-MSR,Seasonal naive,14,120,16.20266923754431,43.65111113072683,27.448441893182522,7.278473350224321,0.5680836334147445,0.9666666666666667,0.03333333333333333,2.19836207285553e-21
PA-MSR,Seasonal naive,30,120,15.840823270061975,43.65111113072683,27.810287860664857,7.6759222227533614,0.6499176297391668,0.975,0.025,1.7557543715988276e-21
