dataset,method,k,mean_MAE,median_MAE,p90_MAE,worst_MAE,mean_rank,top3_rate,n
BDG2-24,M9_REVIN_MSR,3,2.61284821458363,0.2964363012498782,5.2261741772745,37.26524263599395,2.6041666666666665,0.6666666666666666,24
BDG2-24,M3_ANCHOR_REVIN,3,2.711111555584868,0.32228903376498463,5.790669699990849,38.02442368072821,3.5,0.5416666666666666,24
BDG2-24,M11_REVIN_MSR_DPS_CAL,3,2.726193658633273,0.4053729435809564,5.659194483911037,36.54869446295291,3.2916666666666665,0.5416666666666666,24
BDG2-24,PARBoost,3,2.8712197288346304,0.40325318606064386,6.680191065158792,37.85395684985779,3.3541666666666665,0.5416666666666666,24
BDG2-24,Persistence,3,2.9377679420867935,0.42929112911224365,6.956539106369016,38.40132141113281,4.229166666666667,0.375,24
BDG2-24,RF-ST,3,3.217689239517942,0.7188195589331667,6.511714364792639,37.8418558377361,6.541666666666667,0.0,24
BDG2-24,ExtraTrees-ST,3,3.2954158572310064,0.8166913889709482,6.54014862775037,37.47263052028739,7.208333333333333,0.0,24
BDG2-24,HistGBDT-ST,3,3.367292405464736,0.9274782330186714,6.507658689280005,36.58655299877245,8.041666666666666,0.041666666666666664,24
BDG2-24,Seasonal naive,3,4.633439096156508,0.8041995763778687,9.532249259948728,41.7362174987793,6.229166666666667,0.25,24
BDG2-24,M11_REVIN_MSR_DPS_CAL,7,2.387005000568076,0.390437053531451,5.653543776035961,30.21395971959859,2.75,0.625,24
BDG2-24,M9_REVIN_MSR,7,2.520004500013249,0.32518593829377634,5.37214125033497,34.66209726960505,2.8333333333333335,0.6666666666666666,24
BDG2-24,M3_ANCHOR_REVIN,7,2.597442629010746,0.3387856254143355,6.137246717116112,34.56552582767158,3.875,0.4583333333333333,24
BDG2-24,PARBoost,7,2.6268293567672187,0.39492851348445257,6.809990213575132,33.649053504854415,3.625,0.4583333333333333,24
BDG2-24,RF-ST,7,2.9225995014157173,0.6730314229531991,6.450460806586782,32.42364828697759,6.5,0.041666666666666664,24
BDG2-24,Persistence,7,2.9377679420867935,0.42929112911224365,6.956539106369016,38.40132141113281,4.229166666666667,0.4583333333333333,24
BDG2-24,HistGBDT-ST,7,3.050613043079751,0.7641409855805694,6.5287414666417325,31.620914537300497,7.666666666666667,0.041666666666666664,24
