dataset,candidate,baseline,k,n,mean_improvement_MAE,median_improvement_MAE,win_rate,negative_transfer_rate,candidate_mean_MAE,baseline_mean_MAE
COFACTOR-44,M9_REVIN_MSR,M3_ANCHOR_REVIN,3,44,0.020617230328093185,0.0030688296889128663,0.5454545454545454,0.45454545454545453,3.518428681930081,3.539045912258174
COFACTOR-44,M9_REVIN_MSR,M3_ANCHOR_REVIN,7,44,0.0021768388695012127,0.0034153533435252736,0.5227272727272727,0.4772727272727273,3.6331043619859034,3.6352812008554043
COFACTOR-44,M9_REVIN_MSR,M3_ANCHOR_REVIN,14,44,0.011405996533363877,0.010046376977483118,0.5909090909090909,0.4090909090909091,3.6335329777395695,3.6449389742729323
COFACTOR-44,M9_REVIN_MSR,M3_ANCHOR_REVIN,30,44,0.06467309837192274,0.03380035004283255,0.8636363636363636,0.13636363636363635,3.534541097309916,3.5992141956818386
COFACTOR-44,M11_REVIN_MSR_DPS_CAL,M3_ANCHOR_REVIN,3,44,-0.14588016197241216,-0.11757593542783107,0.13636363636363635,0.8636363636363636,3.684926074230586,3.539045912258174
COFACTOR-44,M11_REVIN_MSR_DPS_CAL,M3_ANCHOR_REVIN,7,44,-0.0959351202065295,-0.07982100684432647,0.20454545454545456,0.7954545454545454,3.7312163210619347,3.6352812008554043
COFACTOR-44,M11_REVIN_MSR_DPS_CAL,M3_ANCHOR_REVIN,14,44,0.04379370966366194,0.023911545299345693,0.6590909090909091,0.3409090909090909,3.6011452646092708,3.6449389742729323
COFACTOR-44,M11_REVIN_MSR_DPS_CAL,M3_ANCHOR_REVIN,30,44,0.0764519649891684,0.07955631092553117,0.8181818181818182,0.18181818181818182,3.5227622306926705,3.5992141956818386
COFACTOR-44,M11_REVIN_MSR_DPS_CAL,M9_REVIN_MSR,3,44,-0.1664973923005053,-0.13074397830298667,0.06818181818181818,0.9318181818181818,3.684926074230586,3.518428681930081
COFACTOR-44,M11_REVIN_MSR_DPS_CAL,M9_REVIN_MSR,7,44,-0.09811195907603071,-0.0763741723753204,0.18181818181818182,0.8181818181818182,3.7312163210619347,3.6331043619859034
COFACTOR-44,M11_REVIN_MSR_DPS_CAL,M9_REVIN_MSR,14,44,0.03238771313029806,0.02256579442756368,0.6136363636363636,0.38636363636363635,3.6011452646092708,3.6335329777395695
COFACTOR-44,M11_REVIN_MSR_DPS_CAL,M9_REVIN_MSR,30,44,0.011778866617245665,0.01701534473803301,0.6136363636363636,0.38636363636363635,3.5227622306926705,3.534541097309916
