MAE,RMSE,sMAPE,sigma_err,sigma_score,method,target,k,seed,mode,similarity,gate,calibrate,alpha,alpha_val_mae
1.9646718496083266,3.33488264818126,27.505308008554184,2.6949025005902953,3.268953161443123,M1_ANCHOR,cofactor_6396,3,42,anchor,False,False,False,1.0,
1.8847456687037853,3.199913003996756,25.85777874863696,2.5861344069199603,3.7678156384570776,M3_ANCHOR_REVIN,cofactor_6396,3,42,revin,False,False,False,1.0,
1.9655249584303494,3.5327851818072378,27.524056255085778,2.9357215139846207,3.9338968273496286,M7_FULL_REVIN_SIM_CAL,cofactor_6396,3,42,revin,True,False,True,0.75,2.387762891794265
1.947745112987732,3.5062914126458287,27.907440678970534,2.91573841273417,3.7995891107663957,M1_ANCHOR,cofactor_6396,7,42,anchor,False,False,False,1.0,
1.9342518703990728,3.451966182349988,26.4649565157001,2.8593456868796063,4.163306738210936,M3_ANCHOR_REVIN,cofactor_6396,7,42,revin,False,False,False,1.0,
1.9794227452994357,3.6863190886944137,27.575057279593985,3.110009015147006,4.379702085781048,M7_FULL_REVIN_SIM_CAL,cofactor_6396,7,42,revin,True,False,True,0.75,2.3795514856985607
1.930106872178978,3.4710564288851984,27.695962370168036,2.8851443607913216,4.292620064917556,M1_ANCHOR,cofactor_6396,14,42,anchor,False,False,False,1.0,
1.8534237469463537,3.2933790796180045,26.430977112330922,2.722531785444655,4.35067859906607,M3_ANCHOR_REVIN,cofactor_6396,14,42,revin,False,False,False,1.0,
1.8942133476993621,3.2368538259468003,27.046159704277727,2.6249038595429344,3.6588056227520327,M7_FULL_REVIN_SIM_CAL,cofactor_6396,14,42,revin,True,False,True,1.25,2.239845084140602
1.844928105984064,3.202633234473088,27.316215279104945,2.618021538121152,3.74781329708886,M1_ANCHOR,cofactor_6396,30,42,anchor,False,False,False,1.0,
1.8483248592006853,3.3498815847355248,26.87257811832965,2.794005885317977,4.8216561696508204,M3_ANCHOR_REVIN,cofactor_6396,30,42,revin,False,False,False,1.0,
1.8324193210734951,3.1980505960196677,27.383749367761183,2.6212031933273234,3.87796044338986,M7_FULL_REVIN_SIM_CAL,cofactor_6396,30,42,revin,True,False,True,1.25,2.154741194425244
5.954090481459493,10.626585421959806,20.922374392136984,8.802512434564292,2.7031334638860955,M1_ANCHOR,cofactor_6397,3,42,anchor,False,False,False,1.0,
5.593731104537385,10.09293590550934,18.866572083121355,8.401645098747615,3.0656814636527665,M3_ANCHOR_REVIN,cofactor_6397,3,42,revin,False,False,False,1.0,
5.816642755975264,10.429351302873954,19.591826694169324,8.657295957440924,2.8653844084656033,M7_FULL_REVIN_SIM_CAL,cofactor_6397,3,42,revin,True,False,True,1.25,7.542249959680211
6.070517140421527,11.06087304779854,20.874690938018297,9.246836436415299,2.864244316694155,M1_ANCHOR,cofactor_6397,7,42,anchor,False,False,False,1.0,
5.696453983676043,10.29112891270925,19.289483350272285,8.571363476731184,3.097100438603582,M3_ANCHOR_REVIN,cofactor_6397,7,42,revin,False,False,False,1.0,
5.950836919278221,10.718549531017041,20.013393217071847,8.915505129901609,2.9241164343752897,M7_FULL_REVIN_SIM_CAL,cofactor_6397,7,42,revin,True,False,True,1.25,7.834259142009105
6.029034807771767,10.82252623989041,21.001836221107215,8.98829171259302,2.7908767506393866,M1_ANCHOR,cofactor_6397,14,42,anchor,False,False,False,1.0,
5.832827601356793,10.63687070364604,19.528009800192674,8.895643741186145,2.997396126210098,M3_ANCHOR_REVIN,cofactor_6397,14,42,revin,False,False,False,1.0,
5.8352109396140355,10.564517175876466,19.742139189162547,8.807408795698054,2.8464371068601024,M7_FULL_REVIN_SIM_CAL,cofactor_6397,14,42,revin,True,False,True,1.25,7.641886980302532
5.998604705003775,10.820799086925224,20.870639094107364,9.00655627699613,2.98848487480722,M1_ANCHOR,cofactor_6397,30,42,anchor,False,False,False,1.0,
5.7890886307668294,10.556566809987913,19.358720201032344,8.82829098097876,3.047011584406018,M3_ANCHOR_REVIN,cofactor_6397,30,42,revin,False,False,False,1.0,
5.847208397246799,10.50004156856344,19.908614516843013,8.721922119428864,2.869909690929515,M7_FULL_REVIN_SIM_CAL,cofactor_6397,30,42,revin,True,False,True,1.25,7.446755731465682
1.3069321662169417,2.028298730747987,8.602139253740132,1.551215199202906,2.776523367495316,M1_ANCHOR,cofactor_6398,3,42,anchor,False,False,False,1.0,
1.2406882657136846,2.017657201734785,8.008969332975974,1.5912246080864543,6.288853001066561,M3_ANCHOR_REVIN,cofactor_6398,3,42,revin,False,False,False,1.0,
1.3670259158982483,2.1731710248796055,8.958065456827342,1.689473628962749,5.612468880945452,M7_FULL_REVIN_SIM_CAL,cofactor_6398,3,42,revin,True,False,True,0.75,1.5999986576182028
1.2911775911574517,2.049253776978909,8.55728057571935,1.5914346070764256,2.8181256824242498,M1_ANCHOR,cofactor_6398,7,42,anchor,False,False,False,1.0,
1.2505966493222274,2.0177300694617637,8.220896331291948,1.58354087519506,6.310165369350319,M3_ANCHOR_REVIN,cofactor_6398,7,42,revin,False,False,False,1.0,
1.334127690192904,2.107949531425441,8.879624975568621,1.6321568452289705,6.944377922685364,M7_FULL_REVIN_SIM_CAL,cofactor_6398,7,42,revin,True,False,True,1.0,1.5698404589276989
1.3503593889390972,2.123257972946087,9.046814678836459,1.6386391946896621,3.211683014055937,M1_ANCHOR,cofactor_6398,14,42,anchor,False,False,False,1.0,
1.288791349965649,2.0834812185857845,8.461677593208785,1.637160536077101,6.898880103632425,M3_ANCHOR_REVIN,cofactor_6398,14,42,revin,False,False,False,1.0,
