target_building,MAE_M2,MAE_M3,MAE_delta,RMSE_M2,RMSE_M3,RMSE_delta,sigma_err_M2,sigma_err_M3,sigma_err_delta,sigma_score_M2,sigma_score_M3,sigma_score_delta,sigma_err_win,sigma_score_win
Bear_education_Bob,85.71502685546875,48.48433303833008,-37.23069381713867,100.0785903930664,53.146854400634766,-46.93173599243164,51.66647720336914,21.771400451660156,-29.895076751708984,4.659438228929961,2.1918261645444437,-2.4676120643855173,True,True
Robin_office_Adolph,5.1674628257751465,116.58747100830078,111.42000818252563,6.923837661743164,117.02825927734375,110.10442161560059,4.609007835388184,10.149136543273926,5.540128707885742,12239518.597466344,13.187627994730505,-12239505.409838349,False,True
Wolf_education_Tori,292.1663818359375,246.0090789794922,-46.15730285644531,313.9053649902344,269.5162658691406,-44.38909912109375,114.8005142211914,110.10008239746094,-4.700431823730469,4.214409328944598,5.161814022662231,0.9474046937176333,True,False
Wolf_public_Norma,80.37371063232422,60.49637222290039,-19.877338409423828,104.25988006591797,69.17725372314453,-35.08262634277344,66.4188003540039,33.55599594116211,-32.8628044128418,8.275890801425339,3.993345816034227,-4.282544985391112,True,True
Wolf_science_Alfreda,25.233827590942383,77.07525634765625,51.84142875671387,27.539213180541992,77.82828521728516,50.289072036743164,11.031638145446777,10.801844596862793,-0.22979354858398438,7.148060212172172,6.172692796008166,-0.9753674161640067,True,True
