dataset,candidate,baseline,k,n,candidate_mean_MAE,baseline_mean_MAE,mean_improvement_MAE,median_improvement_MAE,p10_improvement_MAE,win_rate,negative_transfer_rate,wilcoxon_p_greater
BDG2-24,M11_REVIN_MSR_DPS_CAL,M3_ANCHOR_REVIN,30,24,2.0429985187298136,2.0727903728465784,0.029791854116765,2.465801547348952e-05,-0.1767419714293757,0.6666666666666666,0.3333333333333333,0.2728347778320312
BDG2-24,M11_REVIN_MSR_DPS_CAL,PARBoost,3,24,2.726193658633273,2.8712197288346304,0.1450260702013572,0.0,-0.0050671685376495,0.2916666666666667,0.2916666666666667,0.0620213965450474
BDG2-24,M11_REVIN_MSR_DPS_CAL,PARBoost,7,24,2.387005000568076,2.6268293567672187,0.2398243561991426,0.0,-0.0007596641775717,0.4166666666666667,0.1666666666666666,0.0129214272298944
BDG2-24,M11_REVIN_MSR_DPS_CAL,PARBoost,14,24,2.2431824591527074,2.488227467696366,0.2450450085436591,0.0,-0.0043379149586161,0.375,0.2083333333333333,0.0320196452602773
BDG2-24,M11_REVIN_MSR_DPS_CAL,PARBoost,30,24,2.0429985187298136,2.1638980555321274,0.120899536802314,0.0,-1.4427352981753775e-05,0.375,0.2083333333333333,0.009283356139867
BDG2-24,M11_REVIN_MSR_DPS_CAL,Persistence,3,24,2.726193658633273,2.937767942086793,0.21157428345352,4.960365868056371e-09,-1.460294416713432e-06,0.5416666666666666,0.25,0.0109008693176274
BDG2-24,M11_REVIN_MSR_DPS_CAL,Persistence,7,24,2.387005000568076,2.937767942086793,0.5507629415187175,4.960365868056371e-09,-2.0073061730337247e-06,0.5416666666666666,0.25,0.0087913976728734
BDG2-24,M11_REVIN_MSR_DPS_CAL,Persistence,14,24,2.2431824591527074,2.937767942086793,0.6945854829340862,4.960365868056371e-09,-4.130831562436556e-06,0.5416666666666666,0.25,0.0087913976728734
BDG2-24,M11_REVIN_MSR_DPS_CAL,Persistence,30,24,2.0429985187298136,2.937767942086793,0.89476942335698,4.960365868056371e-09,-5.163748328914858e-06,0.5416666666666666,0.25,0.0087913976728734
BDG2-24,M11_REVIN_MSR_DPS_CAL,RF-ST,3,24,2.726193658633273,3.217689239517942,0.4914955808846684,0.2748755724733261,0.1083752956413068,1.0,0.0,5.960464477539064e-08
BDG2-24,M11_REVIN_MSR_DPS_CAL,RF-ST,7,24,2.387005000568076,2.9225995014157173,0.5355945008476412,0.2747026824593229,0.0929864989174985,1.0,0.0,5.960464477539064e-08
BDG2-24,M11_REVIN_MSR_DPS_CAL,RF-ST,14,24,2.2431824591527074,2.829953751063273,0.5867712919105657,0.2729947063606489,0.0827458185352055,0.9583333333333334,0.0416666666666666,1.1920928955078125e-07
BDG2-24,M11_REVIN_MSR_DPS_CAL,RF-ST,30,24,2.0429985187298136,2.7076155608401926,0.6646170421103785,0.260712349526258,0.0607463828725564,0.9583333333333334,0.0416666666666666,2.980232238769531e-07
BDG2-24,M9_REVIN_MSR,ExtraTrees-ST,3,24,2.61284821458363,3.2954158572310064,0.6825676426473768,0.4835671506050539,0.291906371319686,1.0,0.0,5.960464477539064e-08
BDG2-24,M9_REVIN_MSR,ExtraTrees-ST,7,24,2.520004500013249,3.0775097894839973,0.5575052894707481,0.4770692807564344,0.2644264491975339,0.9583333333333334,0.0416666666666666,3.814697265625e-05
BDG2-24,M9_REVIN_MSR,ExtraTrees-ST,14,24,2.299912049169845,3.024794665797946,0.7248826166281006,0.4862043562336958,0.3296343848579364,1.0,0.0,5.960464477539064e-08
BDG2-24,M9_REVIN_MSR,ExtraTrees-ST,30,24,2.0004894872101056,2.8666142627782727,0.8661247755681677,0.5016939018089488,0.3533851073071949,1.0,0.0,5.960464477539064e-08
BDG2-24,M9_REVIN_MSR,HistGBDT-ST,3,24,2.61284821458363,3.367292405464736,0.7544441908811056,0.6321205449073943,0.413169278062312,0.9583333333333334,0.0416666666666666,8.165836334228516e-06
BDG2-24,M9_REVIN_MSR,HistGBDT-ST,7,24,2.520004500013249,3.050613043079751,0.5306085430665014,0.5221699826320471,0.2954869506961631,0.9583333333333334,0.0416666666666666,3.814697265625e-05
BDG2-24,M9_REVIN_MSR,HistGBDT-ST,14,24,2.299912049169845,2.988273417222392,0.6883613680525471,0.5215044079227941,0.3521587844970015,1.0,0.0,5.960464477539064e-08
BDG2-24,M9_REVIN_MSR,HistGBDT-ST,30,24,2.0004894872101056,2.8100503855669827,0.8095608983568776,0.5097154138499727,0.3146998623715414,1.0,0.0,5.960464477539064e-08
BDG2-24,M9_REVIN_MSR,M3_ANCHOR_REVIN,3,24,2.61284821458363,2.711111555584868,0.0982633410012383,0.0029963943154675,-1.0646762854058584e-06,0.7916666666666666,0.1666666666666666,0.000510246860917
BDG2-24,M9_REVIN_MSR,M3_ANCHOR_REVIN,7,24,2.520004500013249,2.597442629010746,0.0774381289974973,0.0044597989798344,-0.0057440952434174,0.8333333333333334,0.1666666666666666,0.0029488205909729
BDG2-24,M9_REVIN_MSR,M3_ANCHOR_REVIN,14,24,2.299912049169845,2.397453266953033,0.0975412177831874,0.0026854742678076,-8.434966405108154e-06,0.8333333333333334,0.1666666666666666,0.0001611709594726
BDG2-24,M9_REVIN_MSR,M3_ANCHOR_REVIN,30,24,2.0004894872101056,2.0727903728465784,0.0723008856364731,0.0053373043749347,9.392000309250636e-07,0.875,0.125,0.0001025795936584
BDG2-24,M9_REVIN_MSR,PARBoost,3,24,2.61284821458363,2.8712197288346304,0.2583715142510011,0.0172992936476213,-0.0013229620489128,0.5416666666666666,0.4166666666666667,0.0081354573971873
BDG2-24,M9_REVIN_MSR,PARBoost,7,24,2.520004500013249,2.6268293567672187,0.1068248567539694,0.0089892786857043,-0.0078290637205147,0.625,0.375,0.0089351534843444
BDG2-24,M9_REVIN_MSR,PARBoost,14,24,2.299912049169845,2.488227467696366,0.1883154185265211,0.0128249774376576,-0.0096366920661054,0.5416666666666666,0.4583333333333333,0.0097209811210632
BDG2-24,M9_REVIN_MSR,PARBoost,30,24,2.0004894872101056,2.1638980555321274,0.1634085683220221,0.0200369957991071,-0.0004540882448822,0.5833333333333334,0.4166666666666667,0.0032580494880676
