method,k,mean_MAE,median_MAE,worst_MAE,mean_RMSE,n
M9_REVIN_MSR,3,3.5184286819300805,2.787564259701722,10.335615258964284,5.828566601020754,44
M11_REVIN_MSR_DPS_CAL,3,3.684926074230586,2.9447675092705703,10.245716550731096,6.071471020231755,44
M9_REVIN_MSR,7,3.6331043619859034,2.8889537754806778,10.720022686930655,6.088992284957711,44
M11_REVIN_MSR_DPS_CAL,7,3.7312163210619347,2.910577814588997,11.01329378564051,6.195550784344204,44
M11_REVIN_MSR_DPS_CAL,14,3.6011452646092716,2.8067207807673746,10.366615327507013,5.946265292446057,44
M9_REVIN_MSR,14,3.6335329777395695,2.903437615289598,10.677614933684628,6.090402133508959,44
M11_REVIN_MSR_DPS_CAL,30,3.52276223069267,2.7632328165254085,9.952920197360921,5.779181026395481,44
M9_REVIN_MSR,30,3.534541097309916,2.788278461943306,10.304310154559605,5.845849956840013,44
