MAE,RMSE,sMAPE,sigma_err,sigma_score,method,target,k,seed,mode,similarity,similarity_kind,msr,gate,calibrate,alpha,alpha_val_mae
1.8391370534997395,3.1648519719772383,25.488966502074156,2.5758046874429943,3.9236861516276638,M9_REVIN_MSR,cofactor_6396,3,42,revin,False,stats,True,False,False,1.0,
1.9986633657205515,3.6153115976633643,27.860889908853448,3.012816524897748,4.1030802260946695,M11_REVIN_MSR_DPS_CAL,cofactor_6396,3,42,revin,True,profile,True,False,True,0.5,2.403628963199175
1.8679609643756117,3.326057460205031,26.26756783290835,2.752165581156858,4.5862332817792,M9_REVIN_MSR,cofactor_6396,7,42,revin,False,stats,True,False,False,1.0,
1.9851126459075004,3.6764144841431152,27.621378390425583,3.094617948066581,4.547668074634961,M11_REVIN_MSR_DPS_CAL,cofactor_6396,7,42,revin,True,profile,True,False,True,0.75,2.3682727202117615
1.8415735343484725,3.31582351977942,26.866720310823034,2.7575953189428484,5.1017701566925115,M9_REVIN_MSR,cofactor_6396,14,42,revin,False,stats,True,False,False,1.0,
1.8613625418134774,3.2831633937843647,27.365969509143838,2.704716489520715,3.7290174682408384,M11_REVIN_MSR_DPS_CAL,cofactor_6396,14,42,revin,True,profile,True,False,True,1.25,2.2163933395055806
1.7249567224687083,2.9677929392314213,26.094808316842066,2.4151845778936125,3.9918810293304205,M9_REVIN_MSR,cofactor_6396,30,42,revin,False,stats,True,False,False,1.0,
1.7215281794732122,2.9449336608621786,26.41911702744028,2.389509456325324,3.6547448409543204,M11_REVIN_MSR_DPS_CAL,cofactor_6396,30,42,revin,True,profile,True,False,True,1.25,2.049938043336477
5.509380460141239,10.014688761653922,18.351335363541043,8.363655871335993,2.9267689964320462,M9_REVIN_MSR,cofactor_6397,3,42,revin,False,stats,True,False,False,1.0,
5.816500953174529,10.795361741676297,18.92070958715597,9.095053754576407,2.927325936047763,M11_REVIN_MSR_DPS_CAL,cofactor_6397,3,42,revin,True,profile,True,False,True,1.25,7.976738467052727
5.562012026870385,10.147840384854367,18.565349898422916,8.488404412500433,2.9753807277181687,M9_REVIN_MSR,cofactor_6397,7,42,revin,False,stats,True,False,False,1.0,
5.808763028093591,10.513466881184412,18.847232356155136,8.763689926879474,2.9845260644376372,M11_REVIN_MSR_DPS_CAL,cofactor_6397,7,42,revin,True,profile,True,False,True,1.25,7.6950349419381565
5.804935693152103,10.718687261650578,19.23027957335823,9.011360169809114,3.024759244402086,M9_REVIN_MSR,cofactor_6397,14,42,revin,False,stats,True,False,False,1.0,
5.8844003484607095,10.589241470152087,19.583395189657885,8.804372381706358,3.16534798620246,M11_REVIN_MSR_DPS_CAL,cofactor_6397,14,42,revin,True,profile,True,False,True,1.25,7.708287121453393
5.767449289856088,10.56368044453295,19.44598503394608,8.850937610751753,2.943384303538874,M9_REVIN_MSR,cofactor_6397,30,42,revin,False,stats,True,False,False,1.0,
5.919888776956034,10.613808032991232,20.273409728029495,8.810162201924463,2.9329569674296603,M11_REVIN_MSR_DPS_CAL,cofactor_6397,30,42,revin,True,profile,True,False,True,1.25,7.564547753739032
1.2439089187045562,1.9947931642161236,8.133855618408687,1.5595636019899015,5.868111837411585,M9_REVIN_MSR,cofactor_6398,3,42,revin,False,stats,True,False,False,1.0,
1.2902580735572156,2.072722126139845,8.570063834801159,1.6222786279936239,6.189945847684274,M11_REVIN_MSR_DPS_CAL,cofactor_6398,3,42,revin,True,profile,True,False,True,1.0,1.5192270845408928
1.2488078045947266,2.006704772967506,8.256605273398604,1.5708903363132654,6.798736097251326,M9_REVIN_MSR,cofactor_6398,7,42,revin,False,stats,True,False,False,1.0,
1.2609243141007134,1.9979203879257803,8.421963850850304,1.5498708636058296,5.6614237308388695,M11_REVIN_MSR_DPS_CAL,cofactor_6398,7,42,revin,True,profile,True,False,True,1.0,1.4879127437461845
1.276633550002647,2.060374150843276,8.45672486662167,1.6173196812159492,7.178274939056066,M9_REVIN_MSR,cofactor_6398,14,42,revin,False,stats,True,False,False,1.0,
1.2822574825703408,2.0365231631189795,8.507380769943316,1.5822770992931423,6.466131917012414,M11_REVIN_MSR_DPS_CAL,cofactor_6398,14,42,revin,True,profile,True,False,True,1.25,1.5110560904564108
1.2940469288577567,2.0782398705800103,8.60803856510123,1.626315533460776,6.21270818382884,M9_REVIN_MSR,cofactor_6398,30,42,revin,False,stats,True,False,False,1.0,
1.3002354968944763,2.0744595230480596,8.665931241372862,1.616522232111441,5.594306521940185,M11_REVIN_MSR_DPS_CAL,cofactor_6398,30,42,revin,True,profile,True,False,True,1.0,1.5360956326415576
4.750508463282864,6.457020888295144,11.178957406843173,4.373605912908596,1.8395131512041734,M9_REVIN_MSR,cofactor_6399,3,42,revin,False,stats,True,False,False,1.0,
4.816614332403396,6.533171274810971,11.341593113576462,4.414209229830641,1.793717323223868,M11_REVIN_MSR_DPS_CAL,cofactor_6399,3,42,revin,True,profile,True,False,True,1.0,4.576666879263579
4.7361193916595035,6.464382734794765,11.132639050991138,4.400010206676468,1.8290743055116436,M9_REVIN_MSR,cofactor_6399,7,42,revin,False,stats,True,False,False,1.0,
4.8081065028585765,6.503051433074513,11.276393064955679,4.378862493713177,1.816164917553798,M11_REVIN_MSR_DPS_CAL,cofactor_6399,7,42,revin,True,profile,True,False,True,1.25,4.53493649721304
